id_autor (int)	nome (String)	nacionalidade (String)	email (String)
1	RYAN RIBEIRO	Brasil	limaluana@gmail.com
2	DANIEL BATISTA MACHADO	Brasil	oliviacorreia@azevedo.org
3	VITÓRIA DE SOUSA ANDRADE	Brasil	guilherme21@uol.com.br
4	RAFAEL BATISTA	Portugal	zcastro@gomes.net
5	DANILO TEIXEIRA	Brasil	matheus50@martins.com
6	MAITÊ FERNANDES MORAIS	Brasil	bcunha@fernandes.com
7	MARIA ALICE DA SILVEIRA AMARAL	Brasil	barrosdavi-lucca@yahoo.com.br
8	DÉBORA MARCONDES	Argentina	kaique95@gmail.com
9	LUCAS GABRIEL MACHADO	Brasil	cunhavitor-gabriel@ig.com.br
10	JULIO CÉSAR NOLETO	Colômbia	fmelo@gmail.com
11	MARCELA ALMEIDA AMARAL	Brasil	doliveira@correia.net
12	EMILY MARTINS	Brasil	valentinaoliveira@hotmail.com
13	CAMILA DE MORAIS	Brasil	daniela71@barbosa.br
14	RICARDO DE CARVALHO ARAGÃO	Brasil	nicolasrodrigues@fernandes.br
15	MIGUEL OLIVEIRA VIEIRA	Brasil	amandaribeiro@azevedo.br
16	VITÓRIA NAIANE TEIXEIRA	Brasil	carvalhovitor-gabriel@ig.com.br
17	ELOÁ REINALDO ARAÚJO	Brasil	andré57@ferreira.com
18	DÉBORA VIEIRA DE CARVALHO	Brasil	costelahenrique@yahoo.com.br
19	ISABELLA NAIANE SILVA	Portugal	laísaraújo@pereira.com
20	PEDRO HENRIQUE FERNANDES PINHEIRO	Brasil	almeidaluana@pereira.br
21	CAROLINA GOMES DE FÁTIMA	Brasil	diassofia@ig.com.br
22	JOÃO MIGUEL DANTAS DOS SANTOS	Brasil	clarapinto@azevedo.br
23	JOÃO PAULO DO NASCIMENTO MONTEIRO	Argentina	marinasilva@araújo.org
24	LUIZ HENRIQUE LOPES	Brasil	araújovinicius@silva.com
25	MARIAH JUNIOR MACEDO	Colômbia	juan32@uol.com.br
26	GABRIEL HOLANDA BELE	Brasil	ribeiroyasmin@yahoo.com.br
27	RAFAEL AYRES	Brasil	lucas-gabriel32@uol.com.br
28	FELIPE DA SILVA MORAIS	Brasil	limamaria-eduarda@rodrigues.com
29	JUAN GOMES GOMES	Brasil	luigisilva@carvalho.br
30	NINA CARNEIRO BATISTA	Brasil	isabellycunha@bol.com.br
31	CAUÃ PARANHOS	Brasil	alíciasouza@uol.com.br
32	BEATRIZ JUNIOR BARCELLOS	Brasil	augusto57@gmail.com
33	MARIA AYRES	Brasil	mfernandes@ig.com.br
34	DÉBORA DE SOUSA	Portugal	xpereira@silva.com
35	EVELYN SILVA	Brasil	ucorreia@rocha.com
36	MAITÊ GOMES	Brasil	pereiraana-beatriz@lima.net
37	MANUELA RIBEIRO VIEIRA	Brasil	kpereira@gomes.br
38	LARISSA BORGES NAIANE	Argentina	hmelo@martins.com
39	JOÃO PINHEIRO REBELO	Brasil	ana-vitóriagomes@gmail.com
40	LÍVIA NOGUEIRA DA SILVEIRA	Colômbia	alvesjuan@gmail.com
41	JOANA OLIVEIRA	Brasil	laura13@pinto.com
42	LUIZ OTÁVIO BORGES GÁLATAS	Brasil	ana-claracardoso@uol.com.br
43	BRENO MATOS BRANDÃO	Brasil	pintosophie@araújo.com
44	ELOÁ DE OLIVEIRA	Brasil	nathan11@araújo.net
45	FRANCISCO DOS SANTOS	Brasil	brenda83@ig.com.br
46	MURILO JUNIOR DE OLIVEIRA	Brasil	emanuel63@ig.com.br
47	LUIZ GUSTAVO BRITO MONTEIRO	Brasil	larissaalves@araújo.br
48	LUCAS GABRIEL OLIVEIRA	Brasil	camila11@martins.net
49	STELLA RIBEIRO ALCOBAÇA	Portugal	anthony84@rodrigues.net
50	JOANA DE OLIVEIRA	Brasil	leonardopereira@bol.com.br
51	BRUNA BARBOSA VIEIRA	Brasil	qmartins@bol.com.br
52	LETÍCIA TEIXEIRA	Brasil	sarah91@cardoso.com
53	EMANUEL DE CARVALHO TEIXEIRA	Argentina	barbosaisaac@ig.com.br
54	MURILO RODRIGUES	Brasil	fferreira@hotmail.com
